time,x,y
561.533335,4295619.739445655,7421614.856694195
561.553333,4295620.286388684,7421613.998303466
561.573328,4295620.808728144,7421613.191732104
561.593327,4295621.3552953405,7421612.336918045
561.613326,4295621.873730362,7421611.543709389
561.633324,4295622.412627459,7421610.720789446
561.653318,4295622.94684353,7421609.901841565
561.673317,4295623.466517392,7421609.085851994
561.693313,4295623.9989698995,7421608.2869035425
561.713311,4295624.547157644,7421607.422588037
561.733307,4295625.082404822,7421606.575510174
561.753307,4295625.614251416,7421605.741215181
561.7733,4295626.133298692,7421604.972229448
561.793296,4295626.661196532,7421604.165005974
561.813296,4295627.182979824,7421603.367902045
561.833291,4295627.7061415855,7421602.583940258
561.853286,4295628.229228157,7421601.776178206
561.873284,4295628.743998672,7421600.984502294
561.89328,4295629.248822819,7421600.208923984
561.913279,4295629.769596958,7421599.432115522
561.933277,4295630.273040083,7421598.682195819
561.953272,4295630.807068445,7421597.87161243
561.97327,4295631.358705396,7421596.996478642
561.993256,4295631.890970986,7421596.162716879
562.013268,4295632.431702705,7421595.310799814
562.033262,4295632.958810334,7421594.503905042
562.05326,4295633.516560201,7421593.66569523
562.073256,4295634.047546712,7421592.840790643
562.093253,4295634.60358682,7421591.982929936
562.113252,4295635.117304761,7421591.168721846
562.133248,4295635.665407462,7421590.327338245
562.153247,4295636.180167254,7421589.556868556
562.173239,4295636.720659723,7421588.73844217
562.193237,4295637.246634897,7421587.940124978
562.213236,4295637.76076585,7421587.1821210915
562.23323,4295638.306186579,7421586.323387034
562.253226,4295638.851589371,7421585.489858226
562.273226,4295639.372565928,7421584.678002674
562.293225,4295639.9114837,7421583.834905202
562.313223,4295640.430804898,7421583.024435997
562.333219,4295640.948230972,7421582.210201762
562.353216,4295641.493480445,7421581.370752818
562.373213,4295642.031570813,7421580.5317550255
562.393212,4295642.541345857,7421579.752127533
562.413203,4295643.084845794,7421578.924396687
562.433202,4295643.610480663,7421578.100372529
562.453199,4295644.146941187,7421577.254829893
562.473195,4295644.66763877,7421576.457246462
562.493195,4295645.186809235,7421575.667677465
562.513191,4295645.827940688,7421575.01994649
562.533189,4295646.490518648,7421574.356784018
562.553186,4295647.136370857,7421573.723420757
562.573179,4295647.797400519,7421573.045959299
562.59318,4295648.4736789465,7421572.343961515
562.613175,4295649.102237286,7421571.723551964
562.633171,4295649.730708517,7421571.100253696
562.65317,4295650.38015328,7421570.471959019
562.673164,4295651.05144154,7421569.763522142
562.693163,4295651.706022099,7421569.086001046
562.713162,4295652.362506951,7421568.410370138
562.73316,4295653.022435216,7421567.727033665
562.753156,4295653.634965235,7421567.131990611
562.773151,4295654.288497914,7421566.461292821
562.793146,4295654.959242638,7421565.743350431
562.813146,4295655.629404116,7421565.030669072
562.83314,4295656.287587323,7421564.348498029
562.853139,4295656.92153157,7421563.716564844
562.873139,4295657.576663023,7421563.051534729
562.893134,4295658.213563267,7421562.427161355
562.913132,4295658.867577514,7421561.781000393
562.933127,4295659.5280694105,7421561.108547619
562.953124,4295660.1850845525,7421560.442415735
562.973121,4295660.833773414,7421559.793240111
562.993106,4295661.501305425,7421559.082210818
563.013125,4295662.153397953,7421558.425942927
563.033113,4295662.792179558,7421557.799104698
563.053109,4295663.464435942,7421557.104311136
563.073106,4295664.127797917,7421556.432908262
563.093106,4295664.79279534,7421555.739434513
563.1131,4295665.464831972,7421555.061917852
563.133097,4295666.111412062,7421554.430419935
563.153091,4295666.758096285,7421553.763938853
563.173091,4295667.399965855,7421553.125918919
563.193087,4295668.048617192,7421552.463010486
563.213082,4295668.715322147,7421551.758721781
563.233081,4295669.364053723,7421551.075527585
563.253084,4295669.999024904,7421550.438743143
563.273078,4295670.666214882,7421549.748445204
563.293073,4295671.331691426,7421549.061412257
563.313069,4295672.006166403,7421548.359104512
563.333065,4295672.671998283,7421547.65020928
563.353063,4295673.299443273,7421547.044995766
563.373063,4295673.962362084,7421546.372144177
563.393056,4295674.611260478,7421545.698292989
563.413054,4295675.2406442575,7421545.049331637
563.433051,4295675.897553466,7421544.36523596
563.45305,4295676.562053671,7421543.6846006615
563.473047,4295677.219767135,7421542.996156465
563.493041,4295677.847537258,7421542.368646418
563.51304,4295678.589457028,7421541.890462385
563.533034,4295679.329318645,7421541.384440413
563.553035,4295680.063709826,7421540.913096201
563.573031,4295680.807739958,7421540.406382213
563.593031,4295681.542650029,7421539.920669928
563.613026,4295682.262452729,7421539.472702241
563.63302,4295683.005414643,7421538.976834936
563.653017,4295683.753696247,7421538.456511965
563.673016,4295684.493488555,7421537.977474679
563.69301,4295685.250767662,7421537.458971358
563.713011,4295685.984403673,7421536.9809396835
563.733007,4295686.714306279,7421536.518568107
563.753003,4295687.439306829,7421536.053610153
563.773002,4295688.194413715,7421535.5234735785
563.792996,4295688.91747717,7421535.058193502
563.812995,4295689.637754769,7421534.621152927
563.832991,4295690.341377538,7421534.193281678
563.85299,4295691.057819592,7421533.719541747
563.872986,4295691.805557117,7421533.211321119
563.892982,4295692.552329066,7421532.710072638
563.912978,4295693.280448606,7421532.22554671
563.932977,4295694.003481217,7421531.778731435
563.952977,4295694.70099322,7421531.348704365
563.972972,4295695.432321517,7421530.869192781
563.992956,4295696.176869728,7421530.355495804
564.012969,4295696.930192425,7421529.865387011
564.03296,4295697.655675747,7421529.386255734
564.052958,4295698.397121548,7421528.914105644
564.072955,4295699.126688427,7421528.427276258
564.092951,4295699.840326375,7421527.969807895
564.112949,4295700.574148461,7421527.477447496
564.132948,4295701.311408825,7421526.993391744
564.152945,4295702.068348717,7421526.463786917
564.172941,4295702.805816441,7421525.9650009805
564.192936,4295703.522746349,7421525.5032025585
564.212935,4295704.287049871,7421524.951796812
564.23293,4295705.032575822,7421524.458758459
564.25293,4295705.7824921245,7421523.958849383
564.272926,4295706.529326676,7421523.460492133
564.292922,4295707.275243235,7421522.964401631
564.312924,4295708.008311673,7421522.501837383
564.332916,4295708.7298463695,7421522.074828943
564.352913,4295709.469222187,7421521.597032929
564.372911,4295710.201835087,7421521.116508856
564.392908,4295710.944344341,7421520.620135929
564.412905,4295711.700503166,7421520.110034538
564.432901,4295712.434369262,7421519.651107633
564.452899,4295713.142714775,7421519.207910137
564.472895,4295713.884331337,7421518.727500208
564.492894,4295714.611382458,7421518.267942163
564.51289,4295715.396652344,7421517.987301501
564.532884,4295716.208542373,7421517.66516951
564.552881,4295717.007672238,7421517.390616195
564.572878,4295717.799822036,7421517.103692066
564.592879,4295718.591559062,7421516.805527776
564.612875,4295719.397094352,7421516.493102327
564.632872,4295720.189542879,7421516.212004371
564.65287,4295720.964648251,7421515.968075486
564.672865,4295721.779773219,7421515.661786458
564.692863,4295722.579610444,7421515.391741941
564.712857,4295723.379530339,7421515.111355352
564.732858,4295724.175955101,7421514.821040259
564.752855,4295724.976650716,7421514.559380917
564.77285,4295725.764599234,7421514.284564861
564.792848,4295726.578916785,7421513.991824326
564.812843,4295727.366738958,7421513.735507458
564.832843,4295728.159438693,7421513.458002601
564.85287,4295728.97542486,7421513.1520521
564.872836,4295729.7467669025,7421512.931195349
564.892831,4295730.566565067,7421512.621046234
564.912829,4295731.35668802,7421512.360723706
564.932823,4295732.161252746,7421512.060018879
564.952827,4295732.937311658,7421511.821912688
564.972822,4295733.710352785,7421511.585684798
564.992804,4295734.47501127,7421511.374298332
565.012816,4295735.262271466,7421511.113537503
565.032812,4295736.046313745,7421510.8480132045
565.052805,4295736.865734167,7421510.524461932
565.072806,4295737.683182637,7421510.207929022
565.092803,4295738.484906883,7421509.915982221
565.1128,4295739.262397809,7421509.665413274
565.132796,4295740.060867599,7421509.370301125
565.152791,4295740.850409913,7421509.094548877
565.172788,4295741.637114192,7421508.832242093
565.192788,4295742.427998684,7421508.57930589
565.212787,4295743.236374667,7421508.28351617
565.232782,4295744.029405712,7421508.027589118
565.25278,4295744.822453046,7421507.745925398
565.272772,4295745.5837151585,7421507.52120651
565.292771,4295746.377779333,7421507.261689154
565.312767,4295747.183085017,7421506.998632558
565.332765,4295747.965680083,7421506.741575212
565.352765,4295748.76372714,7421506.449801135
565.372757,4295749.548863415,7421506.194895158
565.392756,4295750.3397084465,7421505.917537141
565.412752,4295751.145789692,7421505.629022748
565.432754,4295751.951983196,7421505.309860566
565.452744,4295752.76594906,7421504.988285916
565.472745,4295753.543131258,7421504.757995592
565.492739,4295754.343644191,7421504.455556621
565.512735,4295755.171444854,7421504.392337494
565.532737,4295756.00266349,7421504.310317837
565.552734,4295756.824815116,7421504.239823366
565.572731,4295757.659638302,7421504.14933168
565.592731,4295758.486582067,7421504.059755858
