time,lat,lon,alt
0.0999959999999902,55.08702588826888,38.14625485090351,192.30656592499
0.299995999999993,55.08702983263119,38.146246764101356,192.29842402043
0.4999959999999959,55.08704679869173,38.1462537296193,192.299441674039
0.6999969999999962,55.08703499246102,38.14624989177767,192.298663561345
0.8999960000000016,55.08702848482356,38.14625853363311,192.30183288852
1.0999959999999902,55.08702191112967,38.14623870955456,192.302386078627
1.299995999999993,55.08701462278511,38.14624157320236,192.303961032333
1.50000399999999,55.08702056572082,38.14622827042868,192.30094054113
1.6999989999999912,55.087020681460714,38.146239447640184,192.30294853869
1.8999960000000016,55.08700926798688,38.146235928087506,192.30213993562
2.1006029999999924,55.087015075288285,38.14624024026519,192.30151114529
2.299993999999998,55.08703868747209,38.14626309923141,192.301840008621
2.499995999999996,55.08703712242434,38.146251485227275,192.301917455037
2.70299,55.08703399494907,38.146271215975815,192.305317874563
2.9009920000000022,55.08702467683442,38.146241291949664,192.300296936508
3.100991999999991,55.08703046150521,38.14625360874277,192.301614751995
3.3009919999999937,55.087042716384225,38.146250948236045,192.30043787741
3.500990999999999,55.08701522204096,38.14623195920636,192.29938591017
3.700995999999989,55.087033558272935,38.146258791560044,192.301187481871
3.900990999999991,55.08703173749527,38.14625560819691,192.299448414392
4.101007999999993,55.08702909713607,38.14625095107256,192.300439223867
4.300992999999991,55.087027831553804,38.14625806991337,192.303367304746
4.5009919999999966,55.087013069931444,38.146239224740995,192.300381800045
4.701622999999998,55.08701884981083,38.146246662107195,192.300333267702
4.900992000000002,55.08704250397308,38.14625915407417,192.29889975701
5.1009969999999925,55.087039918926884,38.146260499399624,192.300889991487
5.301013999999995,55.0870334514084,38.146256488900306,192.300291229254
5.501047999999997,55.08702739923682,38.14624775941296,192.295671025702
5.701032999999995,55.087039662832844,38.14626485104817,192.298472288696
5.901029999999992,55.0870279207402,38.14625174520215,192.303151531519
6.100995999999995,55.08702162752935,38.146242165465495,192.300631733371
6.300995,55.087028222287756,38.14624973737922,192.300658511009
6.500996000000001,55.087040241879244,38.146252810047564,192.302397095486
6.700633999999994,55.08703406909028,38.14624458544466,192.300151679718
6.900995999999992,55.08703434222802,38.14624426546189,192.300068022073
7.1009949999999975,55.087038458766564,38.14625544672826,192.293600850002
7.300995999999998,55.08704045858699,38.14625490088153,192.306199926267
7.500993999999991,55.08702558040467,38.14625203545935,192.304593827985
7.700999999999993,55.08703589170217,38.146244673516925,192.302069143491
7.900995999999992,55.08703129669404,38.14625277288437,192.3057733687
8.101002999999992,55.08704966627728,38.14625847733776,192.304331696243
8.300995999999998,55.08702739498578,38.146251767589874,192.301774069817
8.500996,55.08702945183237,38.14625257343943,192.301951324609
8.701003999999998,55.08703806174314,38.1462419085715,192.296818447132
8.900994999999995,55.08702492136704,38.14623328831316,192.299226955823
9.100995999999997,55.087032049537605,38.1462505789135,192.297007528634
9.300994000000005,55.08704295871765,38.14625775678122,192.297956263865
9.500996,55.087027002631615,38.14624910825205,192.299676745787
9.700998999999996,55.08703732237793,38.14625744180732,192.304203387493
9.900995999999992,55.087037971676274,38.14624871385654,192.29895810216
10.101005,55.08704090974006,38.14626350210534,192.296727489027
10.300995999999984,55.08702889631153,38.14624739949143,192.296310905095
10.500996999999998,55.087037139360675,38.14624690050097,192.298030774095
10.701637999999988,55.08703870381091,38.14625510722003,192.296719187267
10.900995000000009,55.08702509448143,38.14624794750497,192.299020909342
11.10099799999999,55.08703264698912,38.14625013545291,192.298915540623
11.303884999999994,55.08702535790902,38.146253795423505,192.2981985137
11.501992999999985,55.08702906662403,38.1462531689844,192.303626098625
11.701996999999992,55.087027520149945,38.14624275562054,192.308003755977
11.901991999999993,55.087022423563575,38.146252048212126,192.301382485143
12.10199200000001,55.08703270310563,38.146249302250325,192.301911147491
12.301992999999996,55.08703097452544,38.14625043147817,192.304635316417
12.501991999999987,55.087017386158834,38.14625452294469,192.300876208364
12.702003000000005,55.08704341330836,38.146250575788955,192.30157888623
12.901991999999993,55.08704609705435,38.14624915176291,192.30097697381
13.101990999999984,55.08701989472579,38.14624250186126,192.304900169763
13.301995999999988,55.087031923374674,38.14625422033535,192.299901047103
13.50159699999999,55.08702134819039,38.14623815787033,192.30151900514
13.701998999999986,55.087022376929475,38.14624033537622,192.299502057963
13.902010000000004,55.086994826775864,38.14622008253569,192.30588314488
14.10384599999999,55.08703505792727,38.1462618991295,192.307289010472
14.302026999999995,55.08703004522745,38.14624316965311,192.30908856102
14.50202800000001,55.08703622977795,38.14625232099438,192.306800834235
14.701998999999986,55.08703220239304,38.1462443711945,192.30615750528
14.901995999999984,55.08702163489268,38.14624364978074,192.308532945677
15.101996,55.08703882203664,38.146252569419616,192.304768565325
15.301994999999993,55.08703287265121,38.14623757118929,192.30940012042
15.50159699999999,55.08702639914277,38.14624891903376,192.30261156031
15.701995999999994,55.08703485524683,38.14625269446131,192.309446819968
15.901995999999984,55.08703855746116,38.14625398053991,192.305914307741
16.101996,55.08703126150293,38.14624145793853,192.307747993671
16.30199599999999,55.08701001534921,38.14623625574974,192.30658417496
16.501996000000005,55.087028392569685,38.14624698905438,192.309258530228
16.701995999999994,55.08702848075335,38.14625369964265,192.308984907682
16.902025999999992,55.087029399154275,38.14625681693587,192.310447222678
17.101994000000005,55.08702494092264,38.14624557888571,192.309525895889
17.30199499999999,55.08703506352801,38.14625476815695,192.307856446338
17.502003999999985,55.08702866514577,38.146245694525106,192.308547085916
17.702029999999993,55.087031940225515,38.14624028277336,192.30791517779
17.901995999999983,55.08703758973472,38.14625288164822,192.310536226047
