time,x,y
212.045654,4247212.234099853,7377795.763743039
212.0654,4247212.233546199,7377795.765736849
212.085649,4247212.232928304,7377795.767215509
212.105792,4247212.232325693,7377795.7677119095
212.125029,4247212.231711132,7377795.767292292
212.14625,4247212.231229538,7377795.76642772
212.165634,4247212.2307688985,7377795.76528159
212.185634,4247212.230343169,7377795.764098267
212.205774,4247212.2299827915,7377795.763160545
212.225639,4247212.229756196,7377795.76256985
212.245632,4247212.229728584,7377795.76232849
212.265648,4247212.2299776245,7377795.762469363
212.285631,4247212.230576941,7377795.76301731
212.305745,4247212.231578959,7377795.76397711
212.325654,4247212.232817484,7377795.76514742
212.345708,4247212.2341398755,7377795.766340048
212.365658,4247212.235320865,7377795.767300078
212.38566000000003,4247212.236191537,7377795.767822569
212.40576600000003,4247212.236594591,7377795.767729536
212.426269,4247212.23657297,7377795.767130644
212.446235,4247212.236256575,7377795.766276191
212.465596,4247212.235783145,7377795.7653960595
212.485594,4247212.235240436,7377795.764648767
212.505748,4247212.234749224,7377795.764238508
212.525598,4247212.234369909,7377795.764135012
212.545592,4247212.234133224,7377795.764233861
212.56566100000003,4247212.234078104,7377795.76443627
212.585623,4247212.234241093,7377795.76463804
212.60578400000003,4247212.234636293,7377795.764757938
212.62561600000004,4247212.235123691,7377795.764794823
212.645614,4247212.235539712,7377795.764779687
212.665617,4247212.235709963,7377795.764740901
212.68562100000003,4247212.235457924,7377795.764707944
212.705763,4247212.23465868,7377795.7647019215
212.726433,4247212.233469726,7377795.764702044
212.746236,4247212.232233745,7377795.764673855
212.7656,4247212.231201303,7377795.764587318
212.785598,4247212.23057946,7377795.764403443
212.805784,4247212.2306176135,7377795.764104661
212.8256,4247212.2311779205,7377795.763770437
212.845618,4247212.232039505,7377795.763489202
212.86562300000003,4247212.232965036,7377795.763363499
212.88561600000003,4247212.233721693,7377795.76349152
212.905799,4247212.234120506,7377795.763944604
212.925617,4247212.234169317,7377795.764594888
212.945033,4247212.233921426,7377795.765366864
212.965509,4247212.233566208,7377795.765869584
212.985908,4247212.232994152,7377795.7661671145
213.005836,4247212.232562066,7377795.766033013
213.025597,4247212.2321409425,7377795.765622743
213.045607,4247212.231880676,7377795.765105188
213.065601,4247212.231881818,7377795.764677601
213.085597,4247212.232236762,7377795.764531596
213.10578200000003,4247212.233011105,7377795.764822385
213.12559600000003,4247212.234020408,7377795.765437813
213.145628,4247212.235052134,7377795.76620003
213.165619,4247212.235853853,7377795.766908963
213.1854,4247212.23618745,7377795.767369631
213.205872,4247212.2358464375,7377795.76743737
213.225615,4247212.234924049,7377795.767185071
213.246261,4247212.233508925,7377795.7667654995
213.266028,4247212.231876945,7377795.766378582
213.28560300000004,4247212.230150415,7377795.766171004
213.30579900000004,4247212.228396128,7377795.766285796
213.325618,4247212.226696774,7377795.766740812
213.345616,4247212.224945562,7377795.767516009
213.365616,4247212.2230967125,7377795.768583292
213.385618,4247212.221103156,7377795.769908409
213.40578500000004,4247212.218888386,7377795.771472335
213.42566,4247212.216516668,7377795.773133451
213.445641,4247212.213995538,7377795.774782381
213.46565500000003,4247212.2113504745,7377795.776295229
213.485655,4247212.20863023,7377795.777533196
213.505848,4247212.205817987,7377795.77841302
213.525668,4247212.202895123,7377795.779051539
213.54567100000003,4247212.1995806545,7377795.779704302
213.56566000000004,4247212.195764036,7377795.7805864
213.586296,4247212.191126976,7377795.7819757685
213.606494,4247212.1857172195,7377795.78401586
213.625433,4247212.179941849,7377795.786481898
213.645664,4247212.17303582,7377795.789617143
213.665663,4247212.165622529,7377795.793069388
213.685676,4247212.157661875,7377795.7967730425
213.705855,4247212.149168785,7377795.800657322
213.725857,4247212.140340959,7377795.8046845915
213.745699,4247212.131178171,7377795.80894927
213.765706,4247212.121567475,7377795.813599205
213.78571,4247212.111632269,7377795.818671685
213.805881,4247212.101251487,7377795.82429431
213.82571,4247212.0907017365,7377795.830170751
213.846738,4247212.07902588,7377795.836603821
213.866346,4247212.067652597,7377795.8425873015
213.885692,4247212.055877581,7377795.848320136
213.90587,4247212.042967944,7377795.853973973
213.925702,4247212.029544816,7377795.859370735
213.945002,4247212.013610999,7377795.86551265
213.965709,4247211.999786043,7377795.870850779
213.985705,4247211.9833152965,7377795.877432747
214.00588,4247211.9654989,7377795.884963855
214.025711,4247211.947009537,7377795.893175876
214.045521,4247211.927680317,7377795.902099202
214.06579,4247211.907283151,7377795.911821355
214.085741,4247211.886993155,7377795.921755998
214.105913,4247211.866241109,7377795.932123423
214.12665100000004,4247211.844494832,7377795.942951049
214.14639900000003,4247211.822959632,7377795.953338799
214.164622,4247211.798738152,7377795.964355741
214.18725,4247211.774251547,7377795.974607446
214.206753,4247211.748231267,7377795.9845201345
214.226627,4247211.720333831,7377795.994371552
214.24663100000004,4247211.6909738835,7377796.004231314
214.266634,4247211.660814339,7377796.014103817
