time,lat,lon,alt,VN,VE,VD
1646.229035,55.05950074998662,38.2538606222567,654.632829877181,15.2273359116175,-41.836425287479194,-1.905468786497977
1646.249037,55.059491972079016,38.25384552157456,654.594691529911,14.6327227237901,-42.381473407202,-1.90691736350459
1646.269039,55.05953963275995,38.25385646796113,654.556406255637,14.4547122333325,-42.0431146926925,-1.914263713700848
1646.28904,55.05954059801878,38.253848355255236,654.517594843668,15.1881482882601,-40.688977218630896,-1.940570598446812
1646.309044,55.05950464271642,38.25375468656264,654.478982917889,15.4639226108172,-41.7181233699053,-1.9305962889518469
1646.329036,55.05954302664975,38.253750872708466,654.440231375797,15.842139037365799,-42.4122713909278,-1.9375771045986312
1646.3490390000002,55.05953954634451,38.253818057361585,654.401108843682,14.7017204700213,-40.892234979603295,-1.9561266057507964
1646.3690410000002,55.05952680875869,38.25376738731935,654.361814661234,15.2831981353822,-42.1988089256202,-1.9647091223987443
1646.388824,55.05951272126076,38.25374164806824,654.327682453001,14.4859967592619,-40.7316001078744,-1.7066104116508996
1646.409639,55.05956971209465,38.253786359185554,654.281592226875,14.3006644755211,-42.0004760097638,-2.304511306300583
1646.429035,55.059543667941426,38.253693370173394,654.243511210645,15.903320929363499,-41.8815424183887,-1.9040508114983368
1646.449039,55.05952631053248,38.253672699633285,654.204290139155,16.180096382732998,-42.146036608195104,-1.961053574501648
1646.469,55.05952150084879,38.253681054226746,654.16543402284,15.8219176725139,-40.836309502428506,-1.942805815747306
1646.4890380000002,55.05957566737356,38.25369667499449,654.126709599719,15.6159495172737,-42.253193345323396,-1.936221156051943
1646.509002,55.059541090188574,38.25366137713253,654.088898139704,16.056860220152497,-42.1903817737541,-1.8905730007475088
1646.529003,55.05956169405149,38.253693403972676,654.050883670897,14.3847120249858,-41.2042558147092,-1.900723440354568
1646.549002,55.05956489403918,38.25365579034954,654.013136188239,16.0692629873806,-40.7988942595738,-1.887374132900277
1646.569001,55.05955343857793,38.253590038214504,653.975258089653,14.6948570366461,-41.3948765094852,-1.893904929295332
1646.589005,55.05957695046395,38.25364470530359,653.936807030164,14.748344996797,-41.681825583202304,-1.922552974451719
1646.609002,55.0595567808069,38.25365741677264,653.898963428718,16.1492302384866,-41.376619118488705,-1.8921800722978328
1646.629009,55.059556142775826,38.253576385335954,653.860586636782,16.270416919565598,-41.1095816608427,-1.918839596800126
1646.649001,55.05956224338559,38.253620321625505,653.822160099296,14.5411581193388,-41.1152834128009,-1.921326874304441
1646.66876,55.059594392759124,38.25358973711681,653.789117450231,15.8891683949747,-41.621657733935,-1.6521324532504875
1646.689675,55.059604674351476,38.253559356330676,653.743406337152,16.0587576551039,-42.0570300848547,-2.285555653946858
1646.709002,55.05958306276638,38.25358675801773,653.706857803897,15.833969984785899,-41.276769517310406,-1.827426662748621
1646.729002,55.059591428466,38.253546868936915,653.668587939308,14.5333035325283,-41.5975600391589,-1.9134932294491591
1646.749001,55.05959496170188,38.25347121220005,653.630510864057,14.4046724825757,-42.2974953764496,-1.9038537625533536
1646.769002,55.05960244774166,38.25348534290724,653.592881409042,14.8221952426793,-41.8018844724795,-1.8814727507503903
1646.7891,55.05961081203906,38.2535402786726,653.554916509702,16.014505558534402,-41.4286449910991,-1.8982449669977088
1646.809006,55.05961831856805,38.2534603325892,653.518443915817,14.7160040572945,-41.9581696228166,-1.8236296942518493
1646.829005,55.05960194455531,38.25342456749973,653.481689230411,15.9834799514682,-40.638730144891895,-1.837734270299052
1646.8490020000002,55.05958787279981,38.25341329802373,653.445320614186,16.1602353848098,-42.050558051202,-1.8184308112495275
1646.869002,55.05963673228086,38.2534808560054,653.408978731981,14.7865237247785,-40.7542977129577,-1.817094110248263
1646.889007,55.059630573029416,38.253412171813316,653.372338972667,15.509163057323601,-41.8522802512827,-1.8319879657042293
1646.909005,55.0595945835866,38.253400001265696,653.336392274723,14.5672145150336,-40.4807018114533,-1.7973348971963787
1646.928758,55.059631185322424,38.25337303964344,653.3059473467,15.517438565534599,-40.6944501052164,-1.5222464011515058
1646.952064,55.05959979756615,38.253375092820406,653.259886495529,15.5138746263651,-40.878071235264095,-2.303042558548896
1646.969002,55.0596085470645,38.25332261207887,653.230335746105,14.815725350562401,-42.337280326332696,-1.4775374712030498
1646.989021,55.05961909581836,38.25333033534808,653.195455908963,16.0853796436357,-41.800662856056896,-1.7439918570971713
1647.009004,55.059653162267736,38.25335794480537,653.161507929415,14.5174085616573,-40.420967700926,-1.697398977398734
1647.029002,55.05965946874677,38.2533254467456,653.127535766553,14.465406014670299,-42.3022608918677,-1.69860814310141
1647.049001,55.05962178977869,38.25326787663172,653.093652339119,15.8434414547178,-40.798803505357405,-1.6941713717017135
1647.069002,55.0596585067501,38.25332933518488,653.059758023704,14.5394822241909,-41.227651101731205,-1.6947157707477345
1647.0890040000002,55.05964565180212,38.2533335565781,653.025469100115,14.840508524678501,-40.989835085631995,-1.7144461794543986
1647.109001,55.05961778195921,38.253227224036394,652.991601313568,16.1193493697861,-40.9440399313312,-1.69338932734604
1647.128995,55.05963607867157,38.25327007466648,652.961824410097,16.1231256771751,-41.631921751380204,-1.4888451735487251
1647.149002,55.05965223336588,38.253202617143145,652.922995253524,15.0786143775569,-41.5533126458055,-1.9414578286500728
1647.1690230000002,55.059664073852915,38.25319482168849,652.888414028153,15.0713053414368,-40.799565837801495,-1.7290612685542328
1647.189003,55.059668292722115,38.2531953248801,652.853897501354,15.4825685254887,-42.142982345347896,-1.7258263399469342
