time,lat,lon,alt,VN,VE,VD,roll,pitch,heading
1646.229035,55.05951855126835,38.25385172893539,654.632829877181,15.1073359116175,-41.5364252874792,-1.905468786497977,0.886244192002502,2.76304459211346,292.404759483316
1646.249037,55.05952134934097,38.2538386943784,654.594691529911,15.1227227237901,-41.541473407202,-1.90691736350459,0.861506562899574,2.77550827683031,292.401901023133
1646.269039,55.05952414668239,38.25382565574688,654.556406255637,15.1347122333325,-41.5331146926925,-1.914263713700848,0.853334007705225,2.75151705247855,292.402132605654
1646.28904,55.05952696409732,38.25381251247539,654.517594843668,15.1381482882601,-41.5289772186309,-1.940570598446812,0.860352638436967,2.73608395777453,292.399387755764
1646.309044,55.05952974972181,38.25379951249532,654.478982917889,15.1539226108172,-41.5181233699053,-1.9305962889518469,0.83706044513363,2.73741232863098,292.396776210592
1646.329036,55.05953253110371,38.25378653582524,654.440231375797,15.1521390373658,-41.5122713909278,-1.9375771045986312,0.852735577944877,2.76765855486779,292.396809461875
1646.3490390000002,55.05953532754656,38.25377350092349,654.401108843682,15.1617204700213,-41.5222349796033,-1.9561266057507964,0.874955796624405,2.80071801299182,292.389061855489
1646.3690410000002,55.059538127486285,38.25376047029167,654.361814661234,15.1731981353822,-41.5188089256202,-1.9647091223987443,0.808884756142782,2.78470363900233,292.385448208353
1646.388824,55.05954055504497,38.25374919391663,654.327682453001,15.1759967592619,-41.5116001078744,-1.7066104116508996,0.822334871021792,2.77201258287201,292.383632890849
1646.409639,55.059543833383145,38.25373398740447,654.281592226875,15.1906644755211,-41.5004760097638,-2.304511306300583,0.759012717068325,2.77315401825196,292.379638480593
1646.429035,55.05954654907114,38.25372139761026,654.243511210645,15.1933209293635,-41.4915424183887,-1.9040508114983368,0.797411524527645,2.80525847681469,292.378797875886
1646.449039,55.05954935957472,38.25370836275006,654.204290139155,15.200096382733,-41.5060366081951,-1.961053574501648,0.786201313190598,2.83326392479686,292.372401141251
1646.469,55.05955216430751,38.25369533743976,654.16543402284,15.2119176725139,-41.4963095024285,-1.942805815747306,0.724172831125586,2.82355388145519,292.369070923629
1646.4890380000002,55.05955498498825,38.253682212118406,654.126709599719,15.2159495172737,-41.4931933453234,-1.936221156051943,0.72950789626635,2.81073100771405,292.367354744978
1646.509002,55.05955775958038,38.25366928230704,654.088898139704,15.2268602201525,-41.4803817737541,-1.8905730007475088,0.637213554071736,2.80834357085915,292.362394069308
1646.529003,55.05956056217954,38.25365621371991,654.050883670897,15.2347120249858,-41.4742558147092,-1.900723440354568,0.699344425259508,2.84492564979804,292.359359448255
1646.549002,55.05956335057754,38.253643213935554,654.013136188239,15.2392629873806,-41.4788942595738,-1.887374132900277,0.672341544331879,2.84377591977936,292.3520735232
1646.569001,55.05956614641346,38.25363019290771,653.975258089653,15.2548570366461,-41.4748765094852,-1.893904929295332,0.623509329326649,2.86320264674611,292.347304531004
1646.589005,55.05956897591391,38.25361703719283,653.936807030164,15.258344996797,-41.4718255832023,-1.922552974451719,0.61220773200915,2.84037241918223,292.346263109016
1646.609002,55.0595717523847,38.25360414667629,653.898963428718,15.2692302384866,-41.4566191184887,-1.8921800722978328,0.56621366232433,2.83967674680625,292.338740187729
1646.629009,55.05957456141744,38.253591117706605,653.860586636782,15.2804169195656,-41.4495816608427,-1.918839596800126,0.564604582226551,2.86726203412795,292.336366721992
1646.649001,55.05957736930746,38.25357810080715,653.822160099296,15.2811581193388,-41.4552834128009,-1.921326874304441,0.584419749051871,2.89551891240004,292.328939825687
1646.66876,55.05957978133069,38.25356691990859,653.789117450231,15.2991683949747,-41.451657733935,-1.6521324532504875,0.517420452964407,2.88056621881801,292.321407732447
1646.689675,55.05958311735333,38.25355145115618,653.743406337152,15.2987576551039,-41.4470300848547,-2.285555653946858,0.539566509512714,2.87390390189785,292.321206039288
1646.709002,55.05958578954724,38.25353905747614,653.706857803897,15.3139699847859,-41.4367695173104,-1.827426662748621,0.465819288904801,2.86937335441227,292.315880001531
1646.729002,55.05958859878819,38.25352602802232,653.668587939308,15.3233035325283,-41.4275600391589,-1.9134932294491591,0.492765306405548,2.90026382125803,292.314271880453
1646.749001,55.05959141174271,38.25351298386077,653.630510864057,15.3246724825757,-41.4374953764496,-1.9038537625533536,0.48943801395468,2.92402991764035,292.308897910739
1646.769002,55.0595942159533,38.25349998544637,653.592881409042,15.3421952426793,-41.4318844724795,-1.8814727507503903,0.423102133740615,2.91488677985219,292.30522528336
1646.7891,55.05959707524418,38.25348673908166,653.554916509702,15.3445055585344,-41.4286449910991,-1.8982449669977088,0.428285917444071,2.90032830604337,292.306173267492
1646.809006,55.05959984849788,38.25347389714999,653.518443915817,15.3560040572945,-41.4181696228166,-1.8236296942518493,0.348307886838437,2.89825198743438,292.301317580702
1646.829005,55.059602664836746,38.25346085943721,653.481689230411,15.3634799514682,-41.4087301448919,-1.837734270299052,0.378437077170476,2.92192829222864,292.300233813745
1646.8490020000002,55.05960546824813,38.253447883162174,653.445320614186,15.3602353848098,-41.420558051202,-1.8184308112495275,0.353989920757027,2.9414524558146,292.294942025612
1646.869002,55.05960828117955,38.25343486226284,653.408978731981,15.3765237247785,-41.4142977129577,-1.817094110248263,0.316589787948196,2.92797555102957,292.28839833733
1646.889007,55.05961112544038,38.253421693955325,653.372338972667,15.3791630573236,-41.4122802512827,-1.8319879657042293,0.296973039084495,2.91246638749645,292.289713404496
1646.909005,55.05961392828636,38.25340871492396,653.336392274723,15.3872145150336,-41.4007018114533,-1.7973348971963787,0.261806115547588,2.91509447718673,292.283913353001
