E,N,h
82.7466697406952,-62.9006236371403,3.97686781860383
82.7466697406952,-62.9006236371403,3.97686781860383
82.7466697406952,-62.9006236371403,3.97686781860383
82.7466697406952,-62.9006236371403,3.97686781860383
82.7455373960404,-62.8991579177126,3.97737895641474
82.7455373960404,-62.8991579177126,3.97737895641474
82.7455373960404,-62.8991579177126,3.97737895641474
82.7455373960404,-62.8991579177126,3.97737895641474
82.7455373960404,-62.8991579177126,3.97737895641474
82.7450568389216,-62.8994535116108,3.97689092159252
82.7450568389216,-62.8994535116108,3.97689092159252
82.7450568389216,-62.8994535116108,3.97689092159252
82.7450568389216,-62.8994535116108,3.97689092159252
82.7450568389216,-62.8994535116108,3.97689092159252
82.7450568389216,-62.8994535116108,3.97689092159252
82.7445426475695,-62.8988244998441,3.97890682733266
82.7445426475695,-62.8988244998441,3.97890682733266
82.7445426475695,-62.8988244998441,3.97890682733266
82.7445426475695,-62.8988244998441,3.97890682733266
82.7434165212442,-62.898638986442,3.98107935134236
82.7434165212442,-62.898638986442,3.98107935134236
82.7434165212442,-62.898638986442,3.98107935134236
82.7434165212442,-62.898638986442,3.98107935134236
82.7427014011395,-62.8986341233082,3.98127710439157
82.7410641608662,-62.8999541070848,3.98355451041069
82.7588241715034,-62.8523825681107,3.96400514110696
82.7588241715034,-62.8523825681107,3.96400514110696
82.7588241715034,-62.8523825681107,3.96400514110696
82.7588241715034,-62.8523825681107,3.96400514110696
82.7563255281279,-62.8538251454961,3.96732756232225
82.7563255281279,-62.8538251454961,3.96732756232225
82.7563255281279,-62.8538251454961,3.96732756232225
82.7563255281279,-62.8538251454961,3.96732756232225
82.7551223530379,-62.8540914579603,3.96684096909772
82.7545178021978,-62.8544008842521,3.96610016839914
82.7555033659743,-62.8521269485322,3.96835155406804
82.754430874929,-62.8508739754259,3.96744119601678
82.754430874929,-62.8508739754259,3.96744119601678
82.7528571148094,-62.8486930970343,3.97181314271941
82.7528571148094,-62.8486930970343,3.97181314271941
82.7528571148094,-62.8486930970343,3.97181314271941
82.7528571148094,-62.8486930970343,3.97181314271941
82.7510675488574,-62.8503214703044,3.97116173302861
82.7510675488574,-62.8503214703044,3.97116173302861
82.7510675488574,-62.8503214703044,3.97116173302861
82.7510675488574,-62.8503214703044,3.97116173302861
82.7510675488574,-62.8503214703044,3.97116173302861
82.7525430193368,-62.8487619879097,3.97460990398392
82.7525430193368,-62.8487619879097,3.97460990398392
82.7525430193368,-62.8487619879097,3.97460990398392
82.7525430193368,-62.8487619879097,3.97460990398392
82.7525430193368,-62.8487619879097,3.97460990398392
82.7517437520487,-62.8483744136472,3.97388953548827
82.7517437520487,-62.8483744136472,3.97388953548827
82.7517437520487,-62.8483744136472,3.97388953548827
82.7517437520487,-62.8483744136472,3.97388953548827
82.7517437520487,-62.8483744136472,3.97388953548827
82.7508004064798,-62.8481378470596,3.97541364540742
82.7508004064798,-62.8481378470596,3.97541364540742
82.7508004064798,-62.8481378470596,3.97541364540742
82.7508004064798,-62.8481378470596,3.97541364540742
82.7508004064798,-62.8481378470596,3.97541364540742
82.7489903398832,-62.849399550666,3.9768174274042
82.7489903398832,-62.849399550666,3.9768174274042
82.7489903398832,-62.849399550666,3.9768174274042
82.7489903398832,-62.849399550666,3.9768174274042
82.7489903398832,-62.849399550666,3.9768174274042
82.7460747705114,-62.8502006329738,3.97897017668001
82.7460747705114,-62.8502006329738,3.97897017668001
82.7460747705114,-62.8502006329738,3.97897017668001
82.7460747705114,-62.8502006329738,3.97897017668001
82.7460747705114,-62.8502006329738,3.97897017668001
82.7457528524824,-62.8501191587612,3.98160360043054
82.7457528524824,-62.8501191587612,3.98160360043054
82.7457528524824,-62.8501191587612,3.98160360043054
82.7457528524824,-62.8501191587612,3.98160360043054
82.7457528524824,-62.8501191587612,3.98160360043054
82.7441574011851,-62.8498378684216,3.98318079689528
82.7441574011851,-62.8498378684216,3.98318079689528
82.7441574011851,-62.8498378684216,3.98318079689528
82.7441574011851,-62.8498378684216,3.98318079689528
82.7441574011851,-62.8498378684216,3.98318079689528
82.7419770076267,-62.8498904466618,3.98323260718209
82.7419770076267,-62.8498904466618,3.98323260718209
82.7419770076267,-62.8498904466618,3.98323260718209
82.7419770076267,-62.8498904466618,3.98323260718209
82.7419770076267,-62.8498904466618,3.98323260718209
82.7406343675605,-62.8490871799156,3.98506403534052
82.7406343675605,-62.8490871799156,3.98506403534052
82.7406343675605,-62.8490871799156,3.98506403534052
82.7406343675605,-62.8490871799156,3.98506403534052
82.7406343675605,-62.8490871799156,3.98506403534052
82.7414776474633,-62.848336407551,3.9839420465471
82.7414776474633,-62.848336407551,3.9839420465471
82.7414776474633,-62.848336407551,3.9839420465471
82.7414776474633,-62.848336407551,3.9839420465471
82.7414776474633,-62.848336407551,3.9839420465471
82.7402100909596,-62.8488429625044,3.98528971915432
82.7402100909596,-62.8488429625044,3.98528971915432
82.7402100909596,-62.8488429625044,3.98528971915432
82.7402100909596,-62.8488429625044,3.98528971915432
82.7402100909596,-62.8488429625044,3.98528971915432
82.7415045718347,-62.8472323934254,3.98843586367954
82.7415045718347,-62.8472323934254,3.98843586367954
82.7415045718347,-62.8472323934254,3.98843586367954
82.7415045718347,-62.8472323934254,3.98843586367954
82.7415045718347,-62.8472323934254,3.98843586367954
82.7402042662108,-62.8473069608972,3.98809539794104
82.7402042662108,-62.8473069608972,3.98809539794104
82.7402042662108,-62.8473069608972,3.98809539794104
82.7402042662108,-62.8473069608972,3.98809539794104
82.7402042662108,-62.8473069608972,3.98809539794104
