Unnamed: 0,time,heading
0,0.0,359.942452671109
1,0.02,359.95881941863337
2,0.04,359.9679421419804
3,0.06,359.96831391841675
4,0.08,359.9566302952357
5,0.1,359.9593477287145
6,0.12,359.9620047386029
7,0.14,359.9639286984346
8,0.16,359.9573240022154
9,0.18,359.95373464517854
10,0.2,359.95372315209323
11,0.22,359.95675702127056
12,0.24,359.9537152226222
13,0.26,359.96164876043497
14,0.28,359.9719958632857
15,0.3,359.9673923741327
16,0.32,359.96687427764425
17,0.34,359.9614378240331
18,0.36,359.9807586455886
19,0.38,359.9840806843262
20,0.4,359.9763860815659
21,0.42,359.9764187122028
22,0.44,359.97942199734376
23,0.46,359.9709827204244
24,0.48,359.96705819269823
25,0.5,359.9714243857123
26,0.52,359.9697743829199
27,0.54,359.9665517178432
28,0.56,359.962762129646
29,0.58,359.9653094744356
30,0.6,359.9552753810186
31,0.62,359.9635399586616
32,0.64,359.95948863472137
33,0.66,359.95384772449
34,0.68,359.95391168681505
35,0.7,359.97611232432826
36,0.72,359.976028196367
37,0.74,359.96147490991734
38,0.76,359.9629367438762
39,0.78,359.978922820022
40,0.8,359.967006879843
41,0.82,359.9707080188695
42,0.84,359.9682244184033
43,0.86,359.95782126108
44,0.88,359.95534036896214
45,0.9,359.96262825504107
46,0.92,359.9648697583662
47,0.94,359.9698796658291
48,0.96,359.9728339269458
49,0.98,359.97262675967795
50,1.0,359.97449051705405
51,1.02,359.9722374575128
52,1.04,359.98951224185305
53,1.06,359.99284135548373
54,1.08,359.98503078055825
55,1.1,359.98513610945776
56,1.12,359.9869027484677
57,1.14,359.977569185484
58,1.16,359.9772735015276
59,1.18,359.99290733008826
60,1.2,359.9826467468687
61,1.22,359.99033667984907
62,1.24,359.98651340679044
63,1.26,359.9816784060315
64,1.28,359.9768465927316
65,1.3,359.97523076390485
66,1.32,359.9860851094323
67,1.34,359.9725133170131
68,1.36,359.9727042612733
69,1.38,359.98130669192767
70,1.4,359.97385315056465
71,1.42,359.96783229818766
72,1.44,359.9641559333866
73,1.46,359.96510525009285
74,1.48,359.9623425149486
75,1.5,359.9618205385268
76,1.52,359.96661473951895
77,1.54,359.9695008961665
78,1.56,359.97349075755847
79,1.58,359.9740803359921
80,1.6,359.9668842167925
81,1.62,359.9671295412772
82,1.64,359.9750463862394
83,1.66,359.9650283317751
84,1.68,359.9649105648811
85,1.7,359.9714835138218
86,1.72,359.963487842082
87,1.74,359.9578403179912
88,1.76,359.96265983772327
89,1.78,359.9512384643092
90,1.8,359.965824640836
91,1.82,359.9656883768127
92,1.84,359.9656101447127
93,1.86,359.960373645842
94,1.88,359.9621193940323
95,1.9,359.971789639538
96,1.92,359.9634037837709
97,1.94,359.96360238437995
98,1.96,359.94267806384806
99,1.98,359.9530082772555
100,2.0,359.9514560046974
101,2.02,359.9528841692225
102,2.04,359.96239388532024
103,2.06,359.9483073680762
104,2.08,359.9504096295331
105,2.1,359.9477737254934
106,2.12,359.9579804894496
107,2.14,359.9550016339723
108,2.16,359.94209557412626
109,2.18,359.956026074195
110,2.2,359.94940851733537
111,2.22,359.93754837841203
112,2.24,359.9513795898081
113,2.26,359.9394910591409
114,2.28,359.9480341242433
115,2.3,359.933939094024
116,2.32,359.9360111939485
117,2.34,359.926427065101
118,2.36,359.9254405246548
119,2.38,359.9280521734667
120,2.4,359.93080213534887
121,2.42,359.9246113652868
122,2.44,359.9233284680553
123,2.46,359.9233284841767
124,2.48,359.9385009979201
125,2.5,359.92625269562814
126,2.52,359.93912596543254
127,2.54,359.91838539323913
128,2.56,359.9354825454859
129,2.58,359.9364421673981
130,2.6,359.93325688028017
131,2.62,359.93428645825173
132,2.64,359.93563281719287
133,2.66,359.923181876249
134,2.68,359.93722486422104
135,2.7,359.92907832328365
136,2.72,359.9225078336224
137,2.74,359.92288944816124
138,2.76,359.926596662943
139,2.78,359.92810897389523
140,2.8,359.9291322829496
141,2.82,359.9169351206536
142,2.84,359.9293188589127
143,2.86,359.9300032783814
144,2.88,359.9213145810024
145,2.9,359.9364641404976
146,2.92,359.9305902262915
147,2.94,359.9259736085721
148,2.96,359.9339273796264
149,2.98,359.9321645151716
150,3.0,359.9261136595435
151,3.02,359.93075074822184
152,3.04,359.93795728037304
153,3.06,359.93572206326706
154,3.08,359.9313363136029
155,3.1,359.92892829015074
156,3.12,359.9443751840547
157,3.14,359.9482175366013
158,3.16,359.94329658543205
159,3.18,359.9458717274077
160,3.2,359.9350742527577
161,3.22,359.93274786056344
162,3.24,359.9275764278988
163,3.26,359.9415997294633
164,3.28,359.93119225737155
165,3.3,359.92711587543914
166,3.32,359.9297112961478
167,3.34,359.938546038327
168,3.36,359.9324118102634
169,3.38,359.9505787260234
170,3.4,359.93771516796807
171,3.42,359.9502916645709
172,3.44,359.9402248179878
173,3.46,359.93683770938424
174,3.48,359.95234802158825
175,3.5,359.95263356585644
176,3.52,359.94185795666493
177,3.54,359.9325488289903
178,3.56,359.93926508513584
179,3.58,359.9421409521124
180,3.6,359.93245662820806
181,3.62,359.9454793709816
182,3.64,359.9432082176038
183,3.66,359.9360306964827
184,3.68,359.9288723623749
185,3.7,359.930392170572
186,3.72,359.93038574541475
187,3.74,359.9434002852479
188,3.76,359.92302642843094
189,3.78,359.9378279840368
190,3.8,359.92234709136363
191,3.82,359.927174644349
192,3.84,359.93248565859415
193,3.86,359.937709725792
194,3.88,359.9233936389756
195,3.9,359.9263411160375
196,3.92,359.9322752859912
197,3.94,359.93738176384505
198,3.96,359.93265802668014
199,3.98,359.9286072968822
200,4.0,359.9429734940015
201,4.02,359.93454777303003
202,4.04,359.9235591151377
203,4.06,359.934016815053
204,4.08,359.92342134454407
205,4.1,359.92283710137923
206,4.12,359.918407494591
207,4.14,359.9265075268299
208,4.16,359.9192651596952
209,4.18,359.9239378319746
210,4.2,359.93087606075403
211,4.22,359.9442389521742
212,4.24,359.93608437942845
213,4.26,359.9485061474358
214,4.28,359.9453537106177
215,4.3,359.94878181081714
216,4.32,359.9379758264219
217,4.34,359.93280617383834
218,4.36,359.93487838824126
219,4.38,359.938124240253
220,4.4,359.93476906553525
221,4.42,359.9450918118855
222,4.44,359.9447795089642
223,4.46,359.94757187537215
224,4.48,359.935067582268
225,4.5,359.9455064011153
226,4.52,359.9390011613943
227,4.54,359.9492864834197
228,4.56,359.9393415893588
229,4.58,359.95380109586387
230,4.6,359.95162205577486
231,4.62,359.94598752773106
232,4.64,359.94087072227546
233,4.66,359.94857466699057
234,4.68,359.9543031727091
235,4.7,359.94171254408263
236,4.72,359.9446175770326
237,4.74,359.959617910398
238,4.76,359.95067400484066
239,4.78,359.9622756812063
240,4.8,359.9491504015946
241,4.82,359.9548438673665
242,4.84,359.9617227765447
243,4.86,359.96239188820823
244,4.88,359.9596737225246
245,4.9,359.96852665357494
246,4.92,359.96061853616965
247,4.94,359.9632173764505
248,4.96,359.94774951968054
249,4.98,359.9422632014384
250,5.0,359.9433316671721
251,5.02,359.9473264900754
252,5.04,359.9593129176492
253,5.06,359.9650505471081
254,5.08,359.9638698047839
255,5.1,359.9644653469543
256,5.12,359.94889915545457
257,5.14,359.96073593945465
258,5.16,359.94717698690584
259,5.18,359.96430140353624
260,5.2,359.9480971512219
261,5.22,359.96072589475864
262,5.24,359.95696352476426
263,5.26,359.96004732805744
264,5.28,359.9591837975442
265,5.3,359.9548304967016
266,5.32,359.95490948248494
267,5.34,359.9583051196743
268,5.36,359.9494875727333
269,5.38,359.945239872999
270,5.4,359.960559620544
271,5.42,359.9560910567508
272,5.44,359.943464453225
273,5.46,359.94698176419325
274,5.48,359.9405796615585
275,5.5,359.9528753262545
276,5.52,359.95437394494184
277,5.54,359.95954691988254
278,5.56,359.9567764527324
279,5.58,359.9459146120474
280,5.6,359.95884543129483
281,5.62,359.95021879725795
282,5.64,359.9576365968236
283,5.66,359.9473168056213
284,5.68,359.9490618723197
285,5.7,359.9596708411327
286,5.72,359.96846147818746
287,5.74,359.95542684379285
288,5.76,359.9482004898826
289,5.78,359.9482073232545
290,5.8,359.94956465271054
291,5.82,359.95188933316024
292,5.84,359.9681167432314
293,5.86,359.96870455834994
294,5.88,359.9699465319903
295,5.9,359.9642605072484
296,5.92,359.95235470984653
297,5.94,359.9624448737542
298,5.96,359.95867727199635
299,5.98,359.9417316676561
300,6.0,359.95776578425654
301,6.02,359.94910919812685
302,6.04,359.9534178690028
303,6.06,359.9531670625788
304,6.08,359.9445924545652
305,6.1,359.95526523163187
306,6.12,359.951766532009
307,6.14,359.94665129930274
308,6.16,359.9575497722431
309,6.18,359.95918673311826
310,6.2,359.94868116202
311,6.22,359.9634540039463
312,6.24,359.96621618832927
313,6.26,359.95740396687216
314,6.28,359.965233096846
315,6.3,359.9587233015943
316,6.32,359.96520179604875
317,6.34,359.95688269424016
318,6.36,359.95319031164826
319,6.38,359.9630544511221
320,6.4,359.96757783812814
321,6.42,359.96625607279657
322,6.44,359.96658540190646
323,6.46,359.9600493645944
324,6.48,359.9645117975292
325,6.5,359.95764529768894
326,6.52,359.9779381230456
327,6.54,359.9791002488992
328,6.56,359.97344602309147
329,6.58,359.9739996526434
330,6.6,359.96758642318406
331,6.62,359.9687181562851
332,6.64,359.975098114265
333,6.66,359.9747578210909
334,6.68,359.9784122400649
335,6.7,359.9784136416
336,6.72,359.9667692550965
337,6.74,359.9816601985155
338,6.76,359.97816459846604
339,6.78,359.97003934120534
340,6.8,359.97566143904527
341,6.82,359.97132890723964
342,6.84,359.96701507646753
343,6.86,359.98655881211727
344,6.88,359.97863974920887
345,6.9,359.9754887178793
346,6.92,359.9892149503792
347,6.94,359.9872009096094
348,6.96,359.9853043006148
349,6.98,359.9843681936512
350,7.0,359.9750191577429
351,7.02,359.9908981547194
352,7.04,359.9837086207021
353,7.06,359.9824014603997
354,7.08,359.9869547418729
355,7.1,359.97504861294595
356,7.12,359.9883720305892
357,7.14,359.9818883917459
358,7.16,359.9830559188176
359,7.18,359.9730101073808
360,7.2,359.9769266308506
361,7.22,359.969125473236
362,7.24,359.9766161726942
363,7.26,359.9707377966206
364,7.28,359.97754972731724
365,7.3,359.9779512150118
366,7.32,359.9869931605233
367,7.34,359.9801786394631
368,7.36,359.9805923672168
369,7.38,359.99084071892776
370,7.4,359.9885700872141
371,7.42,359.9805293854841
372,7.44,359.9853328303364
373,7.46,359.969982499122
374,7.48,359.9743988871686
