time,lat,lon,alt,VN,VE,VD,roll,pitch,heading
354.060995,55.06612678303557,38.10978507968129,614.215652430272,-9.71198252012581,63.0114286643299,3.3833719781512173,-1.45265157638236,7.87649299805203,111.964339857978
354.080996,55.06612478507687,38.10980475701757,614.28327300502,-9.70554239409344,63.0031091914311,3.3810287373967185,-1.40919684976308,7.88896364260359,111.915718642399
354.100995,55.06612278796628,38.10982444291359,614.350808343377,-9.70331963325629,62.9993873159677,3.376766917853047,-1.45997719100756,7.90466235459813,111.869338399748
354.12100000000004,55.06612079011551,38.1098441583923,614.418257997573,-9.68878274926185,62.9776236394188,3.372482709801261,-1.44613503212658,7.87319752402962,111.826132796177
354.14099500000003,55.06611880154465,38.1098638024973,614.485400014433,-9.6797431259914,62.9753846665244,3.357100842998761,-1.4622377335977,7.8966767330175,111.780190111711
354.160996,55.06611681109436,38.10988347947388,614.55281851285,-9.67404307061583,62.9599709457981,3.3709249208470737,-1.48566338138134,7.87601424851636,111.737457711377
354.180994,55.06611482373973,38.10990313418204,614.620553079611,-9.65794830818648,62.9510133376188,3.386728338051625,-1.46950733842868,7.89116754843639,111.691162723728
354.20101800000003,55.06611282535672,38.10992290032826,614.689298028266,-9.654314623833,62.9377452155208,3.437247432748336,-1.55765593615981,7.87992926546757,111.652475449267
354.221003,55.06611084007,38.10994253403948,614.758393576484,-9.62993957521427,62.9245392475257,3.4547774109000784,-1.52845788181675,7.87567144802506,111.612613143249
354.240631,55.06610890394969,38.10996168014337,614.826388918876,-9.62386226459144,62.9079248360348,3.399767119600483,-1.60120587483122,7.88545770506066,111.573032986011
354.261753,55.06610679899385,38.10998249987613,614.900620182909,-9.6019593420964,62.8972797098205,3.711563201653689,-1.55567653694516,7.86343668170349,111.534143676397
354.280995,55.06610488227155,38.11000146650949,614.96815065775,-9.58737886907936,62.8772917995521,3.376523742048221,-1.69124232092091,7.88731750073544,111.497082398559
354.300996,55.06610289497368,38.11002114538003,615.037757903584,-9.57189410219239,62.873037069331,3.4803622916967925,-1.62418860878438,7.87351870837945,111.462169195904
354.321001,55.06610090578986,38.11004086198826,615.106706956079,-9.55711043997165,62.8550111067844,3.4474526247549875,-1.75977680529233,7.87742795499402,111.425841958108
354.340995,55.06609892969911,38.11006047055952,615.174553443433,-9.53515420719936,62.8371214706677,3.3923243676952097,-1.69417160329367,7.85830702319514,111.393094065352
354.360995,55.06609694960292,38.11008014235677,615.242160852106,-9.51174166991337,62.8221273801505,3.380370433654889,-1.83026203225891,7.8638217223806,111.358609403311
354.38099600000004,55.06609497042197,38.11009983030457,615.30963548261,-9.51223332384146,62.8246056791229,3.373731525198309,-1.80397195774222,7.8846489840172,111.325478825612
354.400997,55.06609299567349,38.11011950108936,615.377134014242,-9.47493356631858,62.7936718218979,3.374926581597037,-1.91091888048797,7.86294436171725,111.297837744641
354.420999,55.06609101497639,38.11013925916736,615.445272217842,-9.46712730534176,62.7933262629209,3.4069101800014323,-1.88335674062841,7.89150617226492,111.266957335882
354.440995,55.0660890544192,38.110158837915534,615.513237791281,-9.43117467185469,62.7690562428639,3.3982786719491287,-1.99473092108839,7.85903274422588,111.240535086072
354.460996,55.06608708597204,38.11017850708016,615.581996524153,-9.41650680415534,62.7587851105774,3.437936643604189,-1.96009139179774,7.87290772514743,111.212789757295
354.480996,55.06608511756391,38.11019817743672,615.651271561661,-9.37663218459999,62.7293952432942,3.463751875398202,-2.0685697000813,7.84545677638536,111.192573177862
354.500995,55.06608314835392,38.11021784729184,615.721088697202,-9.34842597657168,62.7095017186545,3.4908567770514765,-2.07357631550803,7.86338786390561,111.168996667867
354.521002,55.06608117422096,38.11023754935433,615.791572336335,-9.31976823927684,62.6877393361718,3.524181956646544,-2.12397950341871,7.84021230444441,111.148673769205
354.541001,55.06607920619665,38.11025718050046,615.862133644282,-9.29931039877738,62.6755798022115,3.528065397352975,-2.15823852568906,7.83967986695309,111.129996225307
354.561758,55.06607716845679,38.11027751269432,615.935202594333,-9.27033062644271,62.653657329794,3.6534475025462143,-2.23141740382189,7.83052925155376,111.113980579727
354.58099500000003,55.06607526782194,38.11029649674302,616.003086848822,-9.24533732525091,62.6384228113443,3.3942127244529274,-2.2258874472626,7.81904260385049,111.101262062406
354.600994,55.066073298755406,38.11031619964656,616.072858613421,-9.22694682646787,62.6301060899255,3.488588229947709,-2.24666933731016,7.82893318979276,111.085372931155
354.621033,55.066071335946674,38.110335888875774,616.141601679547,-9.19379101357473,62.6036179865748,3.4371533062994786,-2.31770081453803,7.79886388291214,111.077311381246
354.64099500000003,55.06606938227037,38.11035552803151,616.209385362341,-9.17200848414554,62.5930187815619,3.389184139700774,-2.30273782733365,7.79978912231271,111.06620635004
354.660996,55.06606742964178,38.1103751799983,616.276877026942,-9.15576167191521,62.5832212966051,3.374583230049666,-2.38873687016302,7.78623644500299,111.062284376587
354.680995,55.066065476338935,38.11039484374356,616.344523364894,-9.12431237024407,62.5666057521539,3.3823168976027773,-2.36261957070378,7.78695585950188,111.053725031047
354.70099500000003,55.06606352161119,38.11041450840148,616.412738340658,-9.10731219875873,62.5502295262829,3.41074878820109,-2.43566642020463,7.77896195851801,111.048858589194
354.720998,55.06606155619957,38.11043425059869,616.48219493866,-9.08676754624079,62.5400226529554,3.4728299000960305,-2.38210064823848,7.76779388667922,111.044591530859
354.741033,55.06605960097525,38.110453863555485,616.55210402706,-9.07277354818404,62.534312470331,3.495454419999078,-2.49466544576472,7.78348528723119,111.043874273924
